Name,Address,Cuisine,Attire,Description,Website,Image_URL,Latitude,Longitude
Steve's,"1632 Crenshaw Blvd, Torrance, CA 90501",Diner,Any,Casual diner that has the BEST Club Sandwich and Fried Zuchinni. Would also recommend the French Toast Platter. Crispy Diet Coke.,https://order.online/store/25390339?pickup=true&redirected=true,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEQq1oh8RyLwCN9pT4ddg5uFsw7oMYKNmSC3NElOgX2OAenOilGuep8AgjkQUCIaZhdeGTwbg8SUjCJXS5k9svYd6RNTS5wswKzo4ajm8OwQlRuDKG5JwWOlMLyZFV5oY9XfG7qyEd2tU5=s1360-w1360-h1020,33.83196,-118.328367
Din Tai Fung,"21540 Hawthorne Blvd, Torrance, CA 90503",Chinese,Nice-Casual,"Shangnai Chinese cuisine with a great atmosphere. Pork XLB, Spicy Wontons, Shanghai Rice Cakes with Chicken, skip the Short Ribs but go for the Spicy Peanut Noodles and the Green Beans. Crispy Diet Coke!",https://dtf.com/en-us,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfIAvbR_nZsi5Jg5CE3Rl9k6QJdioyIRST2DW19tZZ3NaMlXfzePC_ZZz4A7ouFTX48elgjMT6sJL6WTvOuPTpTUX_XJmzuXgs8B_a_FPMwIdFclKz__uE9Lu018V5aeUH0QkLD__V0DKV=w243-h174-n-k-no-nu,33.833764,-118.350665
El Burrito Junior,"3830 Pacific Coast Hwy, Torrance, CA 90505",Mexican,Any,"Yes, it's a chain, but this is the location is the best. Breakfast is superior here, but go past ~9am in order for the beans to be the best. No Diet Coke.",https://el-burrito-jr.menu-world.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxwOjPmWq6AM77ytIWo0FNFc2q6hRD0nVeOXYKl1hSU5_aakfJ5aSpui52DJKJFF-Vvi4g-dnK02Gkcadvp1fR0-yXHcM3f11EXD_Fs-Mifs_NLK6vSenqtHpirE8Z5heyDb0j=s1360-w1360-h1020,33.805674,-118.353317
Riviera Mexican,"1615 S Pacific Coast Hwy, Redondo Beach, CA 90277",Mexican,Nice-Casual,"Thin chips, delicious salsa. Baja Fish Tacos are AMAZING and so are their Fajitas.",https://www.therivmex.com,https://lh3.googleusercontent.com/p/AF1QipMz-wwO_N2M6XjaueZcnX37vXMEaq-ZEfsdctEP=w289-h312-n-k-no,33.819528,-118.385666
Original Pancake House,"1756 S Pacific Coast Hwy, Redondo Beach, CA 90277",Breakfast,Any,"Best location I've evber been to. For parties of two- split the Ham and Cheese Omlette with a cheddar-jack mix and an extra side of pancakes. Be aware of long lines on the weekends. No reservations, waitlist only. Diet Coke in a can.",https://www.ophredondobeach.com/mobile/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoByJclyLYBdA48yDVRBLTcwdreZGc6j4O6qVLSxwpEeqge0AKLgKp0vdJY1axg49lnKHHsOrKPJPrxTL9nSOYitwIZswvskTZFNX76MPs6fRr8Ml9hFup-C8qfkxmLE8Uvfyl7A3K6m8sQ=s1360-w1360-h1020,33.818,-118.38162
The San Franciscan,"2520 Sepulveda Blvd, Torrance, CA 90505",Old-School Stealhouse,Nice-Casual,"A South Bay staple. Pork Chop is tasty, but it's more about the vibes. If you go on the right days, there's a live band and it really feels like you've stepped into the 1970s. Cosmo martinis are spectacular, but take an Uber.",https://www.the-sanfranciscan.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKryYPpE45-C41Lj84fosOu37KZnUUIKp8bFvoKtuvfO-DQbv3ANau5ltHKP-IcdciPHJzRqR7L5VcdkuZDsWottVIp3I9-6G-dV-P6FTkJImaHYQdrSIY6GjfFboqqlOz85pPE5p6HTvA=w289-h312-n-k-no,33.821821,-118.329433
Fete Bistro by Slay,"1017 Manhattan Ave, Manhattan Beach, CA 90266",French,Chic,"Steak frites are fresh and crispy, Moules en Frites are a must-order. Great selection of French wine, and craft cocktails were very well-made.",https://www.fetebyslay.com,https://lh3.googleusercontent.com/p/AF1QipP3DUogjLcSLuQvScLUbSZGbB5Mq5xCCJCx-LZa=s1360-w1360-h1020,33.883847,-118.410441
X Speakeasy,"1017 Manhattan Ave, Manhattan Beach, CA 90266",Bar,Chic,"Great place for a drink after dinner. On a Thursday, it'll be a little empty but all the better to actually talk to the people you're with.",https://www.xspeakeasy.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepw0aq9fqzXzlM6QjKtH0b9TfWyQ92v6I0q9FQlLASdVQugnQ0T-7kuua7MJVq_MRmijJu4Ng_WkRzZTiJuJ4D1SfeiNWSc9o_CXwGWnm3W6R1vjwilEHMkzhzDWUelNKjiFEqhS4g30eA=w289-h312-n-k-no,33.883847,-118.410441
Musso and Frank's,"6667 Hollywood Blvd, Hollywood, CA 90028",Old-School Steakhouse,Very chic,"A Hollywood institution for a reason. Waiters still wear bow-ties and will tell you whose booth you're sitting at when you get sat. I don't even care if they were telling the truth or not. Go on a Thursday for the Chicken Pot Pie or a Saturday for a can't-miss Short Rib. Lamb is also incredible. Surprisingly, so is the Rigatoni with Lamb Ragut. Take an Uber- cocktails are strong and wine is too good to put down.",https://mussoandfrank.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDC5076Ux4WiS7sL2bgnw8a-fBzFGGmMzp7SdSbvnnVZLZpusqLfo5FwvxMInVJrrL_MDiStsudnHWOMOX3Ff56q90bh92QuvKtp1uS3C_IQm7ueaaHB1EZNseuNFQi9qIlkl0=w289-h312-n-k-no,34.10173,-118.335372
Baja Sharkeez,"52 Pier Ave, Hermosa Beach, CA 90254",Bar,Jeans and a going out top,"I've never eaten the food here, but I can say with absolute certainty this is a spot for the >30 crowd. Go with a friend and get the Shark Attack and you can repurpose the bucket as a flower vase.",https://sharkeez.net/hermosa-beach/,https://lh3.googleusercontent.com/p/AF1QipNTRcgp62YLpPa6tjFWtwJuOeWuUrdMR4fu1-2g=w289-h312-n-k-no,33.86185,-118.400624
